Args:
	algorithm: MCR
	checkpoint_freq: None
	data_dir: data
	dataset: RotatedMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	output_dir: output/svdsvm/svd_5
	seed: 0
	steps: None
	test_envs: [5]
	trial_seed: 0
HParams:
	batch_size: 256
	class_balanced: False
	classification: svd
	fd: 60
	groupdro_eta: 0.01
	irm_lambda: 100.0
	irm_penalty_anneal_iters: 500
	lr: 0.001
	mixup_alpha: 0.2
	mldg_beta: 1.0
	mlp_depth: 3
	mlp_dropout: 0.0
	mlp_width: 256
	mmd_gamma: 1.0
	n_comp: 6
	resnet_dropout: 0.0
	weight_decay: 0.0
saved at step 0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  env3_in_acc   env3_out_acc  env4_in_acc   env4_out_acc  env5_in_acc   env5_out_acc  epoch         loss          step          step_time    
0.9995714592  0.9849978568  0.9997857296  0.9918559794  0.9996785944  0.9892841835  0.9995714592  0.9918559794  0.9989285332  0.9871410201  0.9630343941  0.9635662237  3400.0000000  -22.86769372  3400          0.2667923427 
0.9995714592  0.9879982855  0.9997857296  0.9918559794  0.9997857296  0.9897128161  0.9995714592  0.9939991427  0.9989285332  0.9875696528  0.9624986607  0.9622803258  3500.0000000  -22.87167697  3500          0.2608796144 
0.9995714592  0.9845692242  0.9997857296  0.9905700814  0.9997857296  0.9897128161  0.9995714592  0.9935705101  0.9989285332  0.9871410201  0.9611057538  0.9627089584  3600.0000000  -22.88927448  3600          0.2636253810 
0.9995714592  0.9849978568  0.9998928648  0.9914273468  0.9997857296  0.9892841835  0.9995714592  0.9939991427  0.9989285332  0.9854264895  0.9563912997  0.9562794685  3700.0000000  -22.90372982  3700          0.2600333428 
0.9995714592  0.9824260609  0.9998928648  0.9901414488  0.9997857296  0.9922846121  0.9995714592  0.9935705101  0.9989285332  0.9858551222  0.9606771670  0.9605657951  3800.0000000  -22.92439592  3800          0.2619668531 
0.9994643240  0.9845692242  1.0000000000  0.9918559794  0.9997857296  0.9905700814  0.9995714592  0.9927132447  0.9990356798  0.9832833262  0.9545698061  0.9537076725  3900.0000000  -22.92490146  3900          0.2579427624 
0.9995714592  0.9837119589  1.0000000000  0.9905700814  0.9997857296  0.9909987141  0.9995714592  0.9931418774  0.9989285332  0.9854264895  0.9547840994  0.9545649378  4000.0000000  -22.94919181  4000          0.2590737867 
0.9994643240  0.9841405915  1.0000000000  0.9905700814  0.9995714592  0.9918559794  0.9995714592  0.9927132447  0.9989285332  0.9849978568  0.9589628201  0.9592798971  4100.0000000  -22.96501768  4100          0.2569656777 
0.9995714592  0.9858551222  1.0000000000  0.9909987141  0.9996785944  0.9888555508  0.9995714592  0.9935705101  0.9989285332  0.9858551222  0.9560698596  0.9584226318  4200.0000000  -22.96111368  4200          0.2563970232 
0.9995714592  0.9854264895  1.0000000000  0.9918559794  0.9997857296  0.9909987141  0.9995714592  0.9931418774  0.9989285332  0.9841405915  0.9614271938  0.9618516931  4300.0000000  -22.96357063  4300          0.2535311866 
0.9995714592  0.9837119589  1.0000000000  0.9901414488  0.9997857296  0.9914273468  0.9996785944  0.9927132447  0.9989285332  0.9858551222  0.9572484732  0.9567081012  4400.0000000  -22.98960563  4400          0.2567058635 
0.9995714592  0.9862837548  1.0000000000  0.9901414488  0.9997857296  0.9927132447  0.9996785944  0.9944277754  0.9989285332  0.9867123875  0.9573556198  0.9579939991  4500.0000000  -22.98714841  4500          0.2511434221 
0.9995714592  0.9845692242  1.0000000000  0.9879982855  0.9997857296  0.9922846121  0.9996785944  0.9922846121  0.9989285332  0.9854264895  0.9566055931  0.9575653665  4600.0000000  -23.00062263  4600          0.2541823769 
0.9995714592  0.9879982855  1.0000000000  0.9905700814  0.9997857296  0.9901414488  0.9996785944  0.9935705101  0.9989285332  0.9862837548  0.9554269795  0.9579939991  4700.0000000  -23.00401782  4700          0.2508199215 
0.9995714592  0.9858551222  1.0000000000  0.9909987141  0.9997857296  0.9909987141  0.9996785944  0.9939991427  0.9989285332  0.9837119589  0.9568198864  0.9562794685  4800.0000000  -23.02367122  4800          0.2523156238 
0.9995714592  0.9832833262  1.0000000000  0.9909987141  0.9997857296  0.9905700814  0.9996785944  0.9927132447  0.9989285332  0.9841405915  0.9516768456  0.9528504072  4900.0000000  -23.00695543  4900          0.2492154074 
0.9995714592  0.9837119589  1.0000000000  0.9892841835  0.9997857296  0.9909987141  0.9995714592  0.9922846121  0.9986070931  0.9824260609  0.9498553520  0.9511358766  5000.0000000  -23.01822584  5000          0.2500943065 
0.9990357832  0.9828546935  0.9968930791  0.9849978568  0.9922862653  0.9824260609  0.9942146990  0.9858551222  0.9987142398  0.9845692242  0.9596057002  0.9601371625  5100.0000000  -23.02766590  5100          0.2499766564 
0.9994643240  0.9824260609  0.9998928648  0.9892841835  0.9997857296  0.9918559794  0.9996785944  0.9927132447  0.9988213865  0.9832833262  0.9489981785  0.9494213459  5200.0000000  -23.03084997  5200          0.2485566759 
0.9995714592  0.9849978568  1.0000000000  0.9905700814  0.9998928648  0.9922846121  0.9996785944  0.9948564081  0.9989285332  0.9841405915  0.9572484732  0.9558508358  5300.0000000  -23.03720609  5300          0.2519027591 
0.9995714592  0.9854264895  1.0000000000  0.9905700814  0.9998928648  0.9918559794  0.9996785944  0.9952850407  0.9989285332  0.9824260609  0.9548912461  0.9541363052  5400.0000000  -23.04315690  5400          0.2517561674 
0.9995714592  0.9854264895  1.0000000000  0.9892841835  0.9998928648  0.9935705101  0.9996785944  0.9944277754  0.9990356798  0.9845692242  0.9586413800  0.9601371625  5500.0000000  -23.05664413  5500          0.2532478309 
0.9995714592  0.9858551222  1.0000000000  0.9884269181  0.9998928648  0.9918559794  0.9996785944  0.9944277754  0.9991428265  0.9841405915  0.9518911390  0.9511358766  5600.0000000  -23.09344133  5600          0.2535002041 
0.9995714592  0.9858551222  1.0000000000  0.9905700814  0.9998928648  0.9922846121  0.9996785944  0.9957136734  0.9991428265  0.9854264895  0.9561770063  0.9558508358  5700.0000000  -23.07525960  5700          0.2536418366 
0.9995714592  0.9849978568  1.0000000000  0.9897128161  0.9998928648  0.9905700814  0.9996785944  0.9931418774  0.9991428265  0.9845692242  0.9468552448  0.9477068153  5800.0000000  -23.08280763  5800          0.2570169067 
0.9995714592  0.9845692242  0.9998928648  0.9909987141  0.9998928648  0.9918559794  0.9996785944  0.9931418774  0.9991428265  0.9854264895  0.9560698596  0.9554222032  5900.0000000  -23.09553485  5900          0.2586500478 
0.9995714592  0.9845692242  1.0000000000  0.9888555508  0.9998928648  0.9905700814  0.9995714592  0.9931418774  0.9990356798  0.9849978568  0.9465338048  0.9451350193  6000.0000000  -23.09585464  6000          0.2637083340 
